group_target_id,puzzle_type,Santa Best,Algo solver,puzzle_type_id
000-,cube_2/2/2,10.5,10.5,000
001-,cube_3/3/3,21.8989898989899,24.88888888888889,001
002-,cube_4/4/4,55.42,152.16,002
003-,cube_5/5/5,98.07407407407408,563.1111111111111,003
004-,cube_6/6/6,160.85714285714286,766.7142857142857,004
005-,cube_7/7/7,208.75,562.25,005
006-,cube_8/8/8,291.3333333333333,986.0,006
007-,cube_9/9/9,354.6666666666667,1361.3333333333333,007
008-,cube_10/10/10,461.5,2063.0,008
009-,cube_19/19/19,1616.6666666666667,15337.333333333334,009
010-,cube_33/33/33,5074.0,110568.0,010
011-,wreath_6/6,8.533333333333333,8.533333333333333,011
012-,wreath_7/7,9.23076923076923,9.23076923076923,012
013-,wreath_12/12,18.285714285714285,18.285714285714285,013
014-,wreath_21/21,35.2,3391.4,014
015-,wreath_33/33,75.0,4210.5,015
017-,globe_1/8,50.666666666666664,208.11111111111111,017
018-,globe_1/16,108.0,459.0,018
019-,globe_2/6,23.333333333333332,375.6666666666667,019
020-,globe_3/4,31.7,1569.6,020
021-,globe_6/4,50.5,2863.75,021
022-,globe_6/8,162.25,2865.75,022
023-,globe_6/10,169.0,3425.0,023
024-,globe_3/33,660.5714285714286,28098.285714285714,024
025-,globe_8/25,882.0,23525.5,025
